Text,Emotion
"Ok, I find the reason: device won't answer to simple user (and doesn't matter what permissions did you ask in program manifest). You can directly speak to device only if you are root (or from kernel mode). That means you cannot use devices directly from general applications. Very sad :(",Sad
It is really painfull to get all code form TFS whenever you make a build using NANT. Is there any settings in ccnet.config which will only take the files which are changed form last time which can speed up the process.,Sad
http://stackoverflow.com/a/4105631/1104483. Sad :(,Sad
It's very painful to add multiple tickets to Trac or to have it as your own todo list. That causes people to use their own task management tools so tasks are then spread all around. Is there any plugin or macro that would quicken the process of adding a ticket?,Sad
Basically you've got to call the method with reflection: Get the generic method template with Call passing in your 4 type parameters Invoke the method passing in the regular arguments It's a pain :(,Sad
"@Almo @trojanfoe yes it was a horrible syntax error, sorry guy's!",Sad
That's terrible :(,Sad
"I'm not for sure how the ControlCollection of ASP.Net works, so maybe someone can shed some light on this for me. I recently discovered the magic that is extension methods and Linq. Well, I was very sad to find that this isn't valid syntax However from what I can tell, does implement the interface which provides such methods, so what gives? Why doesn't that just work? I have found a decent work around for this issue at least:",Sad
"JLists don't offer a method for this, and that's very sad. Do you know how to do it?",Sad
"@gap: No, I never wrote the helper class, I'm afraid.",Sad
"I usually don't post meta comments, but 29k views and 7 upvotes? That is sad",Sad
that _is_ sad news,Sad
"I'm currently having exactly the same issue with Monotouch and that's why I found your question. I get the very same exception as you do. This makes me assume that I'm not facing a Monotouch issue but a basic (mis)behavior of XIBs/Cocoatouch. So the answer is: no, it is not possible. Very sad though. Ren̩",Sad
List comprehension performance link is dead :(,Sad
Ahw... that's plain sad :(,Sad
Official guide says: Tomcat deployment is trivial and requires copying the WAR file into the TOMCAT_HOME/webapps folder and restarting the container. But this is really painful :-( Does there any way to deploy app without restarting Tomcat ?,Sad
"Hate to say it, but I don't think there is a way to alleviate this. I do think that it depends on the client system, though, so a faster javascript engine or machine may make it slightly more accurate.",Sad
unfortunatly most browsers think window.close() is malicious and don't allow it to close itself without at least prompting the user :(,Sad
This is sad. 2010 and VCPROJ files have to be maintained by hand so the revision control system doesn't whack it out.,Sad
"Afraid not! If I do so then it explicitly looks for quotes within the data, which it doesn't have.",Sad
That's depressing :/ Are you sure I can't get a collection of all controls on the page with a particular class and give them a single data source?,Sad
As mentioned on StackOverflow podcast 30 - JanRain RPX has beaten me. Sad face for me.,Sad
"First of all I can't see object locking, unused lockObject variable makes me sad. IEnumerable is not special. Each thread will have it's own copy of reference to some instance of sektioner object. You can't affect other threads that way. What would happen with old version of data pointed by sektioner field largely depends on calling party.",Sad
that made me cry :'(,Sad
"I have a serious problem which I can't a solution to. I need to authenticate a token in order to let the user login into my app, the problem is that even though I'm using the AsyncTask, and probably because of it, I can't authenticate it in time. Other problem that sometimes accurs is that I get the NetworkOnMainThreadException error... I'm really hopeless. Here's the flow - And here's my code - That's is the URLDownloader class -",Sad
That's very sad and the issue was opened a year ago...,Sad
sad... very sad.,Sad
"I'm trying to bake my controllers but I keep getting the following error: It's making me frightfully sad, has anyone ever come across this?",Sad
I think I've been using these terms interchangably / wrongly!,Sad
I have implemented this in my Visual Studio addon Visual Installer as IntelliSense Member Completion.If you type variable followed by a period (.) a list of all possible members of this class is presented in a list from which you can choose:Second option is to move cursor over any class to view it's members:See details here: http://www.unsigned-softworks.sk/visual-installer/features.html#member-completionP.S. sorry for this self promo - TLama is very angry for promoting 3rd party software in Inno questions but there is no support for this in official Inno Setup editor and many people ask for this.,Sad
Can't find any manual about changing width of taglist element size. Taglist element is wider than icons I had set. It looks really awful =( Screenshot:,Sad
":~) Very embarrassing!!! When I debugged and printed the receiving addresses, I realized that I was checking the wrong email account! Sorry to have taken your time.",Sad
"I'm sorry, was hasty and overlooked the angular JS part. I cant help you with that, good luck finding a solution !",Sad
"Since I am completely useless at regex and this has been bugging me for the past half an hour, I think I'll post this up here as it's probably quite simple. In PHP I need to extract what's between the tags example:",Sad
"I'm afraid not! AFAIK, the English resources aren't available at all in other international editions of the OS.",Sad
@Bukes: That's disgraceful :(,Sad
Page/MasterPage/Control lifecycle makes me cry :(,Sad
"Now I think it is not possible in c++ (without explicitly qualifying the namespace), it's so sad :(",Sad
Unless you are able to demonstrate the problem with displayed code then I'm afraid there's not much more I can do to help you out.,Sad
sad faces! :( not workoing.,Sad
"@PabloB. sir, this is sad :(",Sad
"Ah man, my changes did not save. JSFiddle was lagging terribly for me so I'm not suprised -- sorry!",Sad
