Text,Emotion
@bflood84 @andyobryan @JackPosobiec Wow! Those are words I haven’t heard together in YEARS!! CNN and correct 😊,Happy
me and my niece sobbing on the kitchen floor anyone wanna join 😊,Happy
@krussell_17 @lillymwallace Alright  I know what I'm gonna do with mine now  thanks 😊,Happy
Philstar thread y'all! 😊 https://t co/gUXyuoNZIV,Happy
I made this cute little recipe box today😊💗 https://t co/SQ3wJNREEY,Happy
Me when I'm looking back at a picture of myself 😊 https://t co/BawNIqxwfL,Happy
@TeamWangPH @GOT7Official @JacksonWang852 @real_Kimyugyeom @BamBam1A @mtuan93 The right most 😊,Happy
@AgassiChing Congrats idol road to 3m na💖😊 #Agaroadto3M,Happy
Here's the Dodo code: 2RSTQ! Also  my Hot Items today are barrels and satellites  just in case you wanna sell some things for extra bells! 😊💕 https://t co/IBl8kc2GT6,Happy
Can't wait till they legalize outside 😊😩 ,Happy
Kids sleep   so its time to roll up again 😊🍃,Happy
@Steff_Stefa Thank you😋😋😊,Happy
What a beautiful morning! 😊,Happy
Make sure y’all are checking up on your friends and family during this hard time😊,Happy
@DaveMartinezNY Ahhhh even better 😊,Happy
@NlBro @BoschAmazon @welliver_titus @Connellybooks *bingewatch   that is😊,Happy
@B2MediaTwit Spending a half day in the office and then enjoying the rest of the day with some yoga and self care 😊,Happy
@hillman_grad That’s exactly what I’m doing! 😊,Happy
@etceverywhere Thank you!! 😊,Happy
@YGENTHUSIAST Happy birthday! 😊,Happy
@Alex26166692 Yes--we already have! We'll keep at it until every company agrees to vegan interiors 😊 https://t co/PzUDent9UG,Happy
@perfectjustices thank you for your words and encouragement!!😊,Happy
😂😊😂😂That's  huge,Happy
am so lucky to have a man like him😍 a man like elthon john😊☺😍,Happy
Howie can always make me smile because he’s so naughty  Kira one of the WCR Keepers got this on video  nobody falls for it but he keeps trying 😊 #naughtycat #besttrillever #bestpurrever #wildcatridgesanctuary… https://t co/OxZjkF2xYK,Happy
😊💜   tag 5 friends: anyone who wants to do it!! https://t co/vMQkC4BF6L https://t co/0IXriC1pPR,Happy
@VIRTUALNAYU If you are talking about you then i agree 👉👈😊,Happy
#GOT7 #Youngjae #영재 #갓세븐 #EveryDateWithYoungjae  ☀️☀️☀️☀️🌸🌸💮🌺🌼🌻😊😊 𝕐𝕠𝕦𝕟𝕘𝕛𝕒𝕖 𝕨𝕚𝕥𝕙 𝕔𝕠𝕔𝕠💚💚🙌🙌 Morning~~~~~~  ⚠️⚠️🚫ALL https://t co/dExkHwK6QC,Happy
@Hillary4VP @Verna7793129 @JaadeAngel @HillaryClinton and he loves the well educated  he loves all americans 😊,Happy
@MichaelEaly Fav new show 👍🏼    waiting patiently for season 2 😊,Happy
@benedictrogers Thank you very much sir😊🙏🏻 #StandWithHongKong https://t co/KY6RCpA6k9,Happy
@UffeVL Thank you for your concern  I'm fine 😊,Happy
Thank you baby  I love youuu more😊❤️ https://t co/IXvBnTDRfS,Happy
@kimprobablynot Pretty sure we have each other but I'll drop this anyway 😊 https://t co/WpQbNc2svz,Happy
@SokolikKatie Thank you SO much! I really appreciate your kind words  😊🙏💕,Happy
@erikdarlingdata @sqlpass It will be the same blogger program  if you have any feedback about last year’s program  please let us know - always keen to #MakeStuffBetter  😊,Happy
@OgPimpTweety @Samoneeeb_ Ok I’ll wait 😊,Happy
@iwuvyoucutie Promise you won’t get mad 😊,Happy
@UnrealEngine @UbisoftMTL @DarkAlliance Thanks!! 😊,Happy
@agirlinbklyn @RafaelNadal Yes - me neither! Looks good though! Need a translation  😊,Happy
@BigSQL @zarchasmpgmr 😊 chomping at the bit!,Happy
My chipotle on the way 😊,Happy
@Saaavage_ 😬😬😊😊 you love me 🥺,Happy
@zackatk77 Fingers crossed! 😊,Happy
hello!! good morning!😊💕,Happy
Done  Let's help each other to gain more followers 😊 https://t co/ajN0YAiMLl,Happy
@hilaryluros @HillaryClinton Oh without a doubt @DGComedy ‼️👍🏻⭐️😊,Happy
shorties who burn candles in the crib always got the best coochie 😊,Happy
@MDouglasHoss BUT    that doesn’t mean you can’t find it to be amazing 😊,Happy
@Deluneko Thank you very much  I am glad that you who know my work well say so😊,Happy
@MoorePower2Ya You would be too much fun  😊💜💜💜,Happy
@faithfulx32 very beautiful  but I found the other one with more personality👏😊,Happy
@Mooncakesu @rice_covers Cbs/collabs can be super fun if you have a supportive/active group ❤️ That's kinda why people are always joining  the themes of CBs makes us get excited together and want to create something amazing 😊,Happy
@JayFirstClassM That’s so cool I bet he loves it 😊,Happy
