Text,Emotion
@Sueb228 @thedoggeneral1 @SteelToeTruth @realDonaldTrump And he needs more  😡,Anger
@ZachGorchow brillant idea of @aegidius give them a contract that one does not want/renounce medical assistance this for „my body my corvid-19“ stupid Trumpster😡,Anger
@RibbleBoy15 @bbclaurak That annoys me too  always Johnson this  Johnson that  no respect whatsoever 😡😡,Anger
Left the house 2day for only the 3rd time since March 23rd  drove 2 my place of work then straight home &amp  this is what my fellow townsfolk are up 2 😡 Does everyone think they are immune? My NHS working wife is fuming that at 8pm these hypocrites will all be out their clapping 🙈 https://t co/gvmPiFjoPM,Anger
@nosqttrsinthewh I almost lost it Joyce   😡,Anger
@dbongino Geez    how does this continue! 😡😡😡,Anger
@soobinlovbot @blueside_0806 wait i wanna find a yeonjun too!!!!😔😡,Anger
I will never forgive TV for what it did to Archie comics with Riverdale😡 https://t co/ut12dXISKI,Anger
@nowthisnews 3 cats without masks! 😳😡🥺,Anger
@AccountistLisa @DrOz Don’t be stupid! What if it’s your kid who dies in the acceptable risk?! Please don’t advocate insanity! 😡,Anger
#Westminster @HouseofCommons #Parliament @NHSuk @NHSEngland @gmcuk #NHS If you think the #UK 🇬🇧 will stay in lock down until a #vaccination for the #CoronaVirus #Covid_19 😷 is found  you can jog on 😡 That ain't gonna happen  ever 😡😡 3 more weeks  then review again 😡,Anger
@tmil8220 @Foxmental_X @Mcd5000Michael @goodgriefla @bangs_drums @ga_saighdiuir @Blake_RESISTS @TheAntiTwitler @pnic711 @notcapnamerica @CainWithAnE @LGBTQPete @RyRousseau @chrislongview @josecanyousee @lambdawon @LisaTalmadge @gracieminabox @peteswinecave @BostonDukeman @TayePolitics @KingOfClapBacks @tedjohnjacobs @stardales @geekyJustinLee @VinesMatthew @teenforchasten @WonderKing82 @Rizzuti09 @destroyurego @FrKeithV1 @SwedishBling @QuareFellas @SloanRush3 @DaxBoom @MadTown4Pete @ReclaimingUSA20 @RyanBonfiglio2 @P4boxers @DJKinz65 @dapperzookeeper @RichUSUK @RichieFed @jakejph8 @soft_spidey @aaronschock @LindseyGrahamSC I've walked out on hookups that I discovered were #Republicans 😡,Anger
@ScottPresler @DawnOuellette1 @realDonaldTrump @YoungKimCA @WesleyHuntTX @gcforcongress My husband’s a contractor who transports wheelchair bound patients to and from hospitals  nursing homes and doctors offices  His income has been cut in half  Our bank has our application and they’re processing it and hope it makes it in time  They doubt it will  though  😡 #PPP,Anger
@sydney_taIker #MartinsFeelz 0035742944 access bank 🙏🙏🙏🙏🙏🙏🙏😡😡😡😡😡😡,Anger
@xaasidnimo yes please😡,Anger
I don't know how much angrier this government can make me  They're saying 26 workers from the NHS have sadly died from covid 19  I've just counted 45 photos of staff who've lost their lives  The actual number is said to be over 60  This is an insult to all NHS workers  😡🙏😪💔🙏,Anger
@ericucha32 @adamhousley Both! Many Covid patients hav even been told 2 stay at home because of the likelihood of picking up or transferring the virus 2 those at hospitals  Even MI rep stated the above⬆  😡Damned if you do &amp  damned if you don't   -&gt  Watch the interview w/President &amp  survivors at the WH,Anger
@NadineDorries Just ignore him buffoon like the rest of the reporters on the nightly news conference they don't bloody listen !!😡🤬,Anger
This takes the prize for most depraved view of our children's plight during the #CoronavirusPandemic    You are one sick SON OF A BITCH   Dr  Oz 😡 https://t co/7KFtIG6Byc,Anger
@ReallyKW Yes   They have to take @POTUS out so they can revive and continue their diabolical trafficking of young children and babies   When the onion layers all get peeled away  we are going to be horrified at what’s been at the core  of all of this  for decades!  😪😪😡,Anger
@kirishimasu Then you stop😡❤️,Anger
And for all out financial and economic experts  please spare us your negative vibes 😡,Anger
@sundropcass Go study 😡,Anger
@TrumperSeaney @realDonaldTrump 💥That's their GOAL!💥They DO NOT CARE about the American people  but Rather  Re-Gaining their Power &amp  protecting their Cash Flow from these Communist Governments! They have Sold Out America &amp  should be Charged with Treason!!!😡👊😡👊😡 #WakeUpAmerica,Anger
they not you at all 😡 https://t co/Pjp566L39u,Anger
@BridgetSterli19 Well said! These are horrifying ppl  😡,Anger
@AbstraktGott @adekelly03 @bkclaud What do you love abt the ending?😡 na wuna d promote this nonsense attitude from women nor?? Ma hear again ,Anger
@RyanAFournier And he will go  @GOP is a Hostage of Pelosi's Cartel and still haven't grow a pair to face her 😡,Anger
I love the 99 yr old man raising millions for the NHS  I love that people are sending donations to ITV for the NHS  I'm more than pissed that we're having to  because this rotton government has bled the NHS and staff dry for the last 10 yrs  😡😡😡,Anger
@fedtanyl have more stuff than me😡,Anger
@bainjal @PMOIndia #lockdown2 was extended so that his bunch of ministers “Stay Hidden” from citizens cries &amp  media querries   @BJP4India in Lockdown too 🦠😡,Anger
@F41RYHWNGS mute me i’m annoying😡😡😡 https://t co/xygGNTo3mR,Anger
I hate it when I’m writing and I begin to sound like an author I admire  😡 Especially when I like the work,Anger
@PressSec @realDonaldTrump ANOTHER LIAR 😡,Anger
@IvankaTrump How dare you! 😡,Anger
If you use these emojis unironically you need help: 😡👿😈,Anger
drop ac pics pls 😡,Anger
@MrShadM @sirvilly27 Fuck him  😡,Anger
@Abirbebo0811 😲😲😲 what😡😡😡,Anger
@Panawahpskek Dr  who???? @Panawahpskek 😡,Anger
I saw that &amp  it is desperately tragic-every week we drum into the boys the Bad influences that are out there waiting in case they slip up ☹️😡 https://t co/YfDy31jJ9G,Anger
@yifanclit don't 🚫 tell me 📣 what to be 😡,Anger
@DonaldJTrumpJr @DebbieOsborne2 Stop her and her cohorts’ paychecks  etc! 😡,Anger
@Squill_whispers @BarbMuenchen @SpeakerPelosi That is awful!! I can’t stand politicians they suck!!! They sure dont live this way 😡,Anger
@piersmorgan I don’t understand it’s like the UK 🇬🇧 Government don’t won’t this to end we are losing NHS Personal and family are been destroyed and left devastated the country going MAD 😡,Anger
The BENGHAZI BITCH 😡😡😡 https://t co/Q7hr7UP5nj,Anger
@celeste82928 your turn  😡😡,Anger
@Finotti22 E-girl 😡,Anger
@carlazuill That’s the thing! Can’t even run over with the cart due to contamination risk 😡,Anger
@DanEv1985 Mate I know someone who had their kids mates round  went over the field with mates &amp  kicked a ball about in the last two weeks  then posted on Monday about how they’ve got symptoms &amp  the drs are calling them constantly to check on them 😡,Anger
@zee_honey Only reason I was on the break was coz my damn phone was wired or some fucked up shit   it didn't help me in anyway to be off coz now I'm facing court cases irregardles 😡😭,Anger
@KertFPS give me your chat snap so i can send you nudes😡😡😡,Anger
i’m fuming my turnips price is 88 bells😡😡,Anger
this is a water checkpoint  if you see this tweet you’re obligated to go drink a glass of water right now 😡 elizabeth the 3rd says so,Anger
@chacheamaria go watch it rn 😡,Anger
⁦@JustinTrudeau⁩  Thank you  but PLEASE do something about the greedy gut banks who will make MORE off people’s misfortune on mortgages😡  Trudeau announces more aid for business  prepares to host call with premiers on wage boost  reopening economy https://t co/LEagYZDqAP https://t co/N5TI462tSx,Anger
@realDonaldTrump Yes they are trying to destroy America and us businesses owners  I applied and my president of bank said most of the money is all gone and I will not be helped!!😡,Anger
@ncthardsoftstan PLEASEEEEE HES TOO CUTE 😡 I CANT HELP IT https://t co/HCJjZWFmoW,Anger
@tamm__a no me 😡,Anger
people driving down majeedhee magu uploading photos and videos captioned  total lockdown  like this a julain sabbees parade:  kaemen koacheh nubovigentha thi ulheny 😡  ╯°n°）╯︵ ┻━┻,Anger
@amvetsupport Wish they would be out without PPE😃! They are crazy but not stupid😡! They are still being safe😝,Anger
@MattHancock wtaf 😡🤦‍♀️  £8 99 a pop  More than a carers hourly wage  You are cruel and deluded  https://t co/U7i991ZnM2,Anger
AMEN  Janet   This fucking commie shit was NOT what I signed up for here!! 😡😡😡 https://t co/O0xnViEYzE,Anger
@piersmorgan This is pure negligence !!! WHY are they allowing people to travel freely into the U K  😡where we’re far from out of the woods !! U K  should shut flights down ASAP to control this bloody virus 🦠 !!,Anger
@MaruPK3 @larinashining PROVE  GRRR 😡😡😡😡😡😡,Anger
There are snowflakes in the sky 😡,Anger
YOU'RE NOT ME!!!!!!! 😡 https://t co/YCOtrNYWsG,Anger
So basically trump's the leading cause of death in these United States 😡 https://t co/eSFsdqTzOO,Anger
I’ve been waiting on one of my packages for more than 3 weeks  I’m fed up 😡,Anger
i want your belly 😡😡😡😤😤😤 https://t co/FsEwyzl54p,Anger
@thedailymash @lmcb1231 Pathetic weed of a rat 😡😡😡,Anger
My professor gave me a 95% on a project I worked my ass off on and had the nerve to email me saying it was excellent&amp that I should present it at a conference!I say this to say  nothing is more of a slap in the face when you don’t get enough credit for what you do!😡I want my 100,Anger
@martinadaro1 @pabloduggan So re te! 😡🤬😡🤬😡🤬,Anger
@uriseok ok spoiler queen😡,Anger
DO THIS 😡😡😡I NEED ATTENTION JUST LIKE IT AND I WILL ANSWER SOME https://t co/ZeNxar4eFO,Anger
I hate my sleep schedule 😡,Anger
😡 #MAGA is this ok with you?  WTF?!!!!!! https://t co/UPOcguKo9B,Anger
@DeAnna4Congress Just one?? 😡😡,Anger
I DO live in California! 😡 And thank you Candace! https://t co/oLs2d9bN2c,Anger
what if we were both hurt by the emperor zarkon 👀😳 to the brink of irreversible psychological damage 😡😭🥺 but i killed him with your bayard 😂🧐😏😌 and we were both boys 👨‍❤️‍💋‍👨,Anger
Wow @BlaineHiggs  Once again   pharmacists should do extra work and you expect that they shouldn’t be paid !?! Shame on you !!! They are the most accessible healthcare profession to the public and you just threw them under a bus 😡,Anger
@DuttYogi Thanks indian player are do hard world  but they dont join Islamic terrorists group 🤔😡,Anger
@piersmorgan please have a word with your employers! Hypocrisy at its finest 😡😡😤😤 https://t co/KlJ0eOyc69,Anger
@wannabepwetty    It was olden day speech  😡,Anger
Every place I want food from is closed 😡🤬🤬😡😡🤬😡,Anger
@jack UNKIL @iamsrk Bhai ka followers kidhar gaye     40 3M to 39 9M 😠😠😠😡😡😡  @TwitterIndia https://t co/lMoMkNZbIM,Anger
Understand Pattern of hypocrites  #SNIT : Juloos and trend  Shippers: 👌😎😉✅  KNIT : Juloos  Shippers : 😭😡 kracter assassination  #SidHearts #SidharthShukla #KNIT @BrainiacAdi @BabaBiggBoss @Neil_Panchtilak,Anger
@SpeakerPelosi Trump is #ProfitsOverPeople 😡,Anger
They got some damn explaining to do on the last episode 😡 they better have season 5 https://t co/023Malushw,Anger
ima smack the mollies outta carti ass😡,Anger
@nctdirtyfeet127 NO HES MINE 👿😡,Anger
@elwasson Didn’t think I could despise a politician more than I do HIllary Clinton But @SpeakerPelosi wins the most despicable politician in history award With her $24000 freezers filled with $13/pint ice cream  proudly showing it off while I have to feed my kid peanut butter &amp jelly! 😡,Anger
What part of not going out unless it’s for exercise  essentials or to work don’t folk understand!! It’s a lockdown  not a holiday 😡 fs,Anger
@LuciphireV2 this chair ain't big enough for the two of us 😡,Anger
@PeterPsquare please bro I swear to God my family haven’t eaten anything since morning and my son is getting sick kindly help me plz 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏sent several message no help 😡😡😡😡,Anger
well it’s been 10 days since my last one but my hair grows sooo quick 😡,Anger
FOXNEWS becomes Trump administration mouthpiece  leaves no stone unturned to shirk responsibility for outbreak outbreak 😡 https://t co/zXwMMRAYxn,Anger
@RussellVine1981 Have these news feeds not get any better to report  what utter BS😡🤬 https://t co/5XIIORWJgo,Anger
@capt_ivane @kasganjpolice 😡shocking,Anger
@jaketapper Well  wasn’t that very nice of them to do so     😏😡🤬,Anger
@carawilliams__ This has fumed me!!!! Does it matter how long it takes someone to run? Fair dooze to them for Atleast trying in the first place 🤛😡,Anger
A recipe for fraud and deception 😡 https://t co/OGzYtREWuU,Anger
@soUza1_n Free fire 😡,Anger
sim😡😡*++++ slat 🦋🦋🦋 https://t co/8W405vu9rv,Anger
@TPMP I don't care ! 😤😡,Anger
@BarrettWilson6 Beijing gets their way again 😡,Anger
@imammuzzammil @_imaams He speaked  divide North East India from rest of #India    Why u support Sharjeel??? Only a anti India people think like that    Shame on you😡,Anger
I’m tired of seeing bingo &amp  pyramid schemes😡,Anger
@hnoraq I ❤️ Anoud u mean 😡😡,Anger
China loru country 😡 https://t co/DV8aIG2nGk,Anger
@MrLeonardKim “YOUR FIRED!!!!!!”😡,Anger
@atrupar Ok  let’s start with his grandchildren  If they live through it maybe we’ll consider it  😡,Anger
How Some Rich Americans Are Getting Stimulus ‘Checks’ Averaging $1 7 Million 🤔😒😡 https://t co/UTBMcz3s7u,Anger
@abdullahycsc He speaked  divide North East India from rest of #India    Why u support Sharjeel??? Only a anti India people think like that    Shame on you😡,Anger
@Luvnediting @bevdevwarrior @realDonaldTrump All those Americans lined up in hallways to die because there were no ventilators  This is worse than fifth avenue  This joke is literally deliberately killing black and brown Americans  😡😡😡,Anger
If I click next and get sent to the login page one more time    I swear 😡😤,Anger
training a dog is harder than I thought 😡,Anger
@DLPatriot This better be over by hunting season 😡!!,Anger
Me when I lose to @lewisbroom99 😡 https://t co/s7KYdLwDEe,Anger
Trump Liar and Jerk😡👎 https://t co/AHq9W59UDz,Anger
