Text,Emotion
@spoonflower has appeared to have stolen my money   Can't get ahold of anyone there   Looks like I may just have to dispute with my bank   #pissedoff,Anger
Still no #Stimuluscheck for me  I had to pay federal taxes so I don't know when I'll get mine  🤬 #unemployed and #pissedoff,Anger
Yesterday my dad waited on hold over an hour for @Kia to answer  Once he got someone  she didn’t understand that my father is waiting on the REFUND that was overpaid by the insurance when his car was totaled She HUNG UP!  Here’s the response from @KiaFinance today  #pissedoff https://t co/uBUARkZxZN,Anger
#pissedoff Not only am I quarantined with my human I had to wear these bunny ears! https://t co/Abvms1t6yg,Anger
#covid19uk 150 Romanian produce pickers land at Stansted https://t co/TMRaJml4L0 via https://t co/t23Y93CVRb You being serious? So they flew over people from another country yet we have thousands of people not working which have applied for them job  #pissedoff #cheaplabouruk 😡,Anger
My running after 6 years of trying compared to that of my sons after 6 minutes of bastard training          I'm not bitter      Honest       #FML #runtraining #jeffing #vomitrunning #vomtastic #pissedoff… https://t co/4Dbgbc0T8C,Anger
Acting Prime Ministers home island gets so far 5 boatloads of aid  Meanwhile south west santo hasn’t even seen anyone from government  Has no food  shelter or water  Where are the Santo elected MPs #disgrace #pissedoff #TCHarold https://t co/Dveme8v9s5,Anger
They want us to stay indoors and isolated but they put f##k all in tv to keep us entertained @rte @virginmedia #pissedoff https://t co/Ktm516GAaT,Anger
Day 2 no mail for #HollyMi plus my package was supposed to be here but still hasn’t yet! #puremi #pissedoff,Anger
@Tesco u messed up big time i cant get a prioty slot am vulnerable i dont have much food for me and my child #pissedoff #vulnerable #hackneywick #hackney #tesco,Anger
@greta E) getting even with China   #pissedoff,Anger
Ya'll  Marvin is letting me down  and remembering me why I need to not deal no more dudes from Baltimore  on any level  Period  for years I been a friend  inspiration  motivation and a lover to these Baltimore dudes but I haven't gotten the same love &amp  effort in return #PissedOff,Anger
I’m fuminggggg how can @stwater just change my payments to 8 times a year so they’ve gone up by £12 a month with no notice! #pissedoff,Anger
I open the bigbasket app &amp  it shows a particular slot (for e g available 5pm to7pm) I try to place an order in that slot but it says sorry no slots (though on homepage it keeps showing available slots)  #pissedoff #bugs @CEE_bigbasket @bigbasket_com @BigBasketTech @bigbasketblog https://t co/cDSIrbtfbj,Anger
Ok  Quick question  Those of you who used #turbotax over the last year or two  and got the cash advance on their Turbo Visa Card  how many of you recieved your stimulus payment by direct deposit? #pissedoff #turbotaxsucksass #stimuluspayment,Anger
@KGETnews This is so dumb  But plenty of us who work for a living aren’t getting a thing 🙄  #pissedoff #thisstatesucks,Anger
My #Gmail is full? FUCK YOU #SundarPichai! Fuck You #Google!   @google @gmail @sundarpichai #DontBeEvil!   #GoogleFAIL #GoogleIsEvil #EpicFAIL #FAIL #GMailFAIL #Unacceptabale #WeCallBS #FireSundar #PissedOff #Angry #outraged #upset https://t co/60W4KloHQW,Anger
I HAVE BUSTED MY ASS DAY IN AND DAY OUT  FOR YEARS! GIVEN EVERYTHING I HAVE AND TO BE SHOWN THE AMOUNT OF DISRESPECT IVE BEEN SHOWN LATELY  PISSES ME OFF! DONT FUCK WITH ME! DONT HINT WHAT YOU CANT KILL  MOTHERFUCKER! #pissedoff #parodyaccount #livinglegend https://t co/B2dMvV88LI,Anger
Disrespect me  and I will BURY YOUR ASS! YOU DONT SHIT ON MY LEGACY AND LIVE TO TELL ABOUT IT! #pissedoff #parodyaccount https://t co/iEtgeHMXvU,Anger
I'm so fed up with this Corona virus thing! #pissedoff,Anger
I DM'd them  Let's see how this turns out  #neverhelps #slowest #pissedoff,Anger
@Jamierodr14 That’s a lot of #pissedoff #americans #firefauci @realDonaldTrump,Anger
Retweet if you are #PissedOff I am tired of the media madness   Are you?  Why are we still supporting their advertisers? Don't believe them when they say  we have no control over where our ads play    They have no problem pulling sponsors from conservative commentators  https://t co/wyhiASKeuN,Anger
@AngelaRayner will make sure the #LabourSaboteurs will be investigated  She was #PissedOff https://t co/rxgd7DGwml https://t co/ZCDrP4K0E7,Anger
Google Employees Should Be “Pissed Off” Their Leadership Is Misleading Congress https://t co/T11pUZ6rBr #GoogleEmployees #Be #PissedOff,Anger
@Inevitable_ET Everyone pretty much has lost someone to cancer and the WHO has been hiding the cure from the public for decades and killing any doctor ready to tell the truth!! Mass Genocide!! Crimes against humanity against millions of not billions of people!! #Pissedoff,Anger
If you are being quiet they'd call u too UPTIGHT AND MOODY And if u just be friendly and comfy they'd call u FAKE   EXTRA  ATTENTION SEEKER         Like wtf!!!!!  #stopjudgingme #moodygrams #pissedoff,Anger
YO @EASPORTSFIFA just an FYI   you guys have done to #FIFA20 what #Trump has done to America    the way the non controlled players move in this game is totally not in keeping with how these teams and players are in reality! #PissedOff #WhatAJoke,Anger
@Ceedub70 @ABC @turbotax Right and I don’t even know how to fix this crap  #pissedoff #turbotax,Anger
Utter waste of time queuing online for B&amp Q  5 items  One can be delivered  4 can't  They also can't be picked up - why even have them as for sale? Either take stock off and don't take orders or do! Paint is 'essential' yet dust sheets and tape aren't? #pissedoff #twohourswasted,Anger
@SouthamptonCops You should get your teams into Thornhill  Loads of teenagers NOT social distancing  #pissedoff #stayhome,Anger
Fuck off Pressure washers ! Why do you feel the need to use them all day everyday during lockdown! 🤣🤣 #pissedoff #lockdown #shuthefuckup !,Anger
@LouisOHaraSF @mattcarthy €350? We will have to pay the guts of a €100 of that back in tax     in my case Iv lost 4 businesses and an uncle but hey ho il get sweet feck all in support  reminds me of 2014 when I lost my business in town to the floods and I got sweet f#%k all then also #pissedoff,Anger
Never using the #qpr clubshop again     had stuff get here from New Zealand quicker  Probably blame royal mail but all other parcels have arrived  Wont even email me back  Took the money quick enough #pissedoff,Anger
When you were given a hot water for drinking and you immediately drink it 😢🤯 #pissedoff #StayHome,Anger
@FNBSA What part of 'we won't be able to afford the repayments from August' is NOT understood  We don't dispute this may be a cheaper option but we CAN'T AFFORD the additional LOAN going forward #pissedoff,Anger
Day 23 of 84  missed yesterday as it was a bad day gf now needs to be tested today for the rona #lockdown #pissedoff,Anger
Don't ever speak on shit you don't know  cuz I promise you  you're not gonna like how it ends #pissedoff,Anger
@ArianaGrande omg! I just read the MOST RIDICULOUS   LIE FILLED article about you!! Makes my blood boil  Saying u have a dark side and wish death on ur fans  I have never   EVER seen u be anything but sweet af to us  Ugh #PissedOff https://t co/c4pxamAu18,Anger
@garretjordan76 @Alanis @SeanAllanKrill @jaggedmusical No it’s not    not according to Amazon UK anyway 😠 #PissedOff! Although her Official Website is still saying May 1st  I’m sure that will change  #Alanis #AlanisMorissette   @dixiechicks and @BonJovi are still going ahead with their May Release dates #SuchPrettyForksInTheRoad,Anger
I don't like being told to shut up  #pissedoff https://t co/xe4BhjQeLi,Anger
@PMan19 @Tesco Just a thought from a loyal customer? More like a #pissedoff customer,Anger
#angrypanda #angry #shesmad #tantrum #pissedoff #ohwell @ Washington D C  https://t co/axy684GYhH,Anger
my villager asked me yesterday for a wharf roach and i just brought him one and now he wanna switch up and say he ain’t want it #pissedoff,Anger
A Rosie Nieper  Seriously Pissed-Off Cat  ceramic mug by McLaggan Smith  😾  🛒 https://t co/9IhXW3t8Yt #catmug #pissedoff  https://t co/5RvQ0RWY1X,Anger
FUCK!!! I just dropped an entire carton of blueberries on the kitchen floor  stepping back and letting the dog enjoy  I need sad music  cue up @LewisCapaldi #lewiscapaldi #pissedoff,Anger
My bad it was 2017  I've been searching on Snapchat for like 2 fucking hours and it forced closed on me because this iPhone is too old  #pissedoff @Snapchat won't even help me  I think they deleted this #lens and it was my favorite one #wow https://t co/gZk1oc527c,Anger
They dont have any answers do they  Same words from them everyday apart from death rate  #pissedoff #scared,Anger
@woolandthegang This arrived today but with no knitting  needles I’m a bit screwed ☹️  Am  I the only customer you’ve ever had who made the assumption that they are included in the contents?  If you don’t supply them then please don’t mention them on the packaging   #pissedoff https://t co/8RUvoU9Na6,Anger
