Text,Emotion
AM I THE ONLY ONE WHO PANICS EVERYTIME I GOT NOTIF FROM @pulte ???? I REALLY THOUGHT ONE OF HIS TWEET IS FOR ME 😢😢😢😢😢 #BailoutHumans,Sad
Please help! I’m super hormonal and getting so discouraged 😅😢,Sad
I want braids 😢,Sad
One of our best and most consistent players ever since he joined  led from the front and set the standard for everyone to follow every time he crossed the white line    We will miss you @GuyThompson87 😢  It was a pleasure having you! https://t co/HX335dzjss,Sad
@PC_Reed Losing a dog is never insignificant  It’s heartbreaking 😢,Sad
@RoxanaGLL Grax 😢😂,Sad
I miss playing D1 baseball 😢⚾️ https://t co/1vfHyrIY3y,Sad
@AdamDamnLazzara Man  I wanted that blanket SO bad and to help donate masks but the $50 shipping to the UK on the $40 blanket was too much for me right now 😢,Sad
@KathyJoLloyd2 Oh sweetheart I am so very sorry  😢♥️,Sad
@JocePlays Probably gets pushed back too  😢,Sad
@BaddCompani @bigreebokdawg @realDonaldTrump I’ve been stuck  I know I had it but no test  Temp became normal on the 23  Don’t know when I can go back home to my mate  I’m afraid I’ll give it to them 😢,Sad
The tweet 😂😂😂😢 https://t co/WLJNkjUcoy,Sad
@ScottMoir you shouldn’t have to even make this video😢 sorry you have to go through this!!,Sad
i keep getting headaches like tf is going on😢,Sad
My other jack aint working im outta da coversge area stupid😂😂😂😭😭😢👆,Sad
@shoke_is_me Hopefully it's not another extension   😢,Sad
Wow I really miss the older characters 😢 https://t co/x8Nq7cJYv2,Sad
One of my all time favourite authors #LuisSepúlveda #RIP #COVID19 😢 📚 https://t co/SW1TOepN0i,Sad
I miss celebrating a goal 🥺😢,Sad
Wish I never left tim 😢😢😢,Sad
The “J” in my name stands for “Just Want A Fade” 😢,Sad
@Dark_Wizzy_ Me bc I share my bed with my gf and two dogs 😢,Sad
@jonathan_1350 @SharkApp_ Crached 😢,Sad
Yes and yes 😢💔😢💔😢 https://t co/qFBrn409Yp,Sad
Y’all gotta quit showing y’all hands 😢,Sad
Being an RA  We had fun in the office  giving tours  events  and they took us to six flags and Schlitterbahn 😢 https://t co/NLSv5kToO9,Sad
everytime i see a @putle notif i think its for me 😢 if it was i should have tons of money by now 😂😂😭,Sad
Aww I just miss my nephew so much😢 he’s becoming even more of a character than he was before just wanna give him the biggest munch,Sad
@lady_tamayo__ *hugs 😢 tyyy,Sad
@KektusFruit Opening up the downtown area to make it more interconnected  a lot of paths that would connect sections are blocked off making it too linear(gas station is blocked i wanna explore it 😢)  Also more sections(either more downtown or clocktower)for tyrant Nemmy to chase you ,Sad
@sungminies donut forget to rest &amp  engage in leisure too 😢 hwaiting tsa!!!!!💙,Sad
I miss Rome’s 😢,Sad
@yeetmasterer who knows 😢,Sad
@ishanagarwal24 Cons in this phone is Battery life which is same like iphone 8🙄🤐😢,Sad
@seonnyeo26 I love Song Lan  but    🥺😢,Sad
Feeling old seeing co-workers' high school pictures   I am old enough to be their mother😢,Sad
@Angelinah86705 Shame 😢,Sad
@bellatr30179981 Very beautiful 😢😚,Sad
Rest In Peace  Howard Finkel  and Thank You    😢😢,Sad
@kelvinboj @WORLDSTAR Acct no 2115030361   UBA   thanks in anticipation 😢 😢 😢,Sad
@emeldamakamba @KelvinMotsi1 @kmasora I miss that place 😢,Sad
