Text,Emotion
oh no adult school,Fear
bad depressing day ever r p,Fear
aww happy mothers day,Happy
get family ready kaylee graduation go make sad,Fear
day like today thankful mom teach proverb 620 23 thankful twitter love planit1,Bad
ginogagaza awww like anne curtis tho rite soap go replace,Bad
no egg today shame look forward egg bacon sandwich,Sad
happy morning sunshine may 4 drive window singe smile not wear shoe kirsten,Happy
want go back bed child look may sleep sunday enevitable hangover may require,Fear
paulaugustine yes though not coffee favorite brand,Sad
phillyd love show subscribe follow tweet not wait see,Happy
not time go twitter since work full time,Fear
finally feel back swing thing work get marry last week sigh relief no wedding planning,Happy
4idiots hahaha not work strip club know alrighty mister public may dance today,Happy
get home gym tennis first badminton ehehe,Happy
anyone bored work,Bad
get good happy mothers day,Happy
whole time haydendavey,Surprise
brodyjenner live manchester england still never london,Sad
anal sex forget lube damn may need go e r,Fear
jbrigante haha drink 2 cheat day,Happy
worried mr sock tonight,Fear
photogjack yeah price used market hasselblad not even close way use hold value shame,Sad
brandesme no not redirect update post website massage dk next item publish next item pulish,Surprise
krissytina adriii guy literally go sydney june july hols meet wanna try one lindt cafe,Happy
gunna spend today sexy good friend,Happy
simonwilder want play,Surprise
work graduation shame,Sad
learn something new today,Happy
bored not go habbo stupid ban,Fear
rvca blast sale today one pair cord mi sized tho still worth may come back tomorrow thankssss,Fear
stephaniemxx get back see yr tweet 7 30pm monday mayday public holiday,Bad
not sleep without routine bed snack find come along fatfat tummy,Fear
morning tweetheart home travel 302 mi thru 2 state 2 faire 3 day inspire ready write enjoy coffee,Surprise
stupid homework waste time,Fear
thirdgradehater traffic ridiculous may not make,Anger
back miami miss south beach,Sad
alisonhaislip envy everyone aot,Sad
great song httpbit ly evluw,Happy
omgjoker feel like hot box no matter go still feel like hot box ice cream not work n e,Fear
chicodebarge guess respond dc case,Happy
want sushi today,Fear
feel bad taylorshockley profile pic,Sad
bed tonight really really funny good family ever,Happy
ausaudriel no money atm plus trial not know would let play without buy new exp,Fear
trader joes sushi fail,Sad
three hour hair still not straight,Fear
enjoy new car,Happy
london car 500 degree no air con,Bad
canuck seem fall lot must mean skate extra hard tonight,Bad
20 john johnhaydon thedailyblonde httptinyurl com cq5nkp,Sad
school bore want 2 go home,Bad
chriskoon aw sure thing thought prayer,Happy
marney1911 flip race nba playoff pull dale jr bron bron,Bad
ddlovato bamboozle wish could go work laurie ann gibson tell guy work together,Happy
go bed hang w aaron robin take aaron sunnys,Sad
snappys deliver tea ice cream love sister,Happy
go miss senior much not goo,Fear
dye hair,Bad
tysoncolinjoe use external track ball laptop seem excessive totally efficient,Fear
kunalsheth get 8th subject remain power generation operation control distribution system automation,Bad
hopei91 lose please help find good home,Fear
medicine man oh medicine man art thou feelin faint not go lyin floor,Fear
happy mothers day mom every mom everywhere stroll beach later hopefully,Happy
extremly deep,Surprise
snotty nose poorly chest not good,Fear
make nice cup tea pop benadryl long day stay positive twitterbug goodnight,Happy
nclusa sorry disappoint not big nascar fan still around decent redneck,Sad
someone fuck birthday sex basically say song nigga selfish listen song carefully,Bad
miss concert tuesday already would really like time machine go see fun,Happy
traumatize sadden 2 baby squirell find abandon sidewalk,Fear
not stop playin head pussycat doll jai ho ellen degeneres hd httpbit ly hxlfm,Happy
joaniemaloney yep suck think somewhere say,Sad
speakerphone bestie love kid httptinyurl com qxyc2n,Happy
happy star wars day unbelievable,Happy
dinner yummy still super tired thing go enroll college,Sad
bvictor nerve think not sure,Sad
umiandalter oh really must miss post,Bad
idocpro sorchamorrigan dany meet sorcha sorcha dany know p,Bad
animal action area ferret racing,Bad
almaddin enjoy ur night,Happy
richardmadeley oh final msg not review boardgame bookchasei12 telly not even get nice letter,Sad
wkjthd thank follow,Bad
anjeebaby aileenwilliam please not get watch bb,Fear
sad school go miss friend teacher,Fear
music video make project city contagious thecab upload youtube,Bad
love monday many reason,Happy
nothing,Bad
ok get get sub everyone wake,Bad
ryanmtedder truth maxwell not forget future father child,Anger
torridcrafter one good friend state cover thank,Happy
jeremycowart love polaroid shame not make film anymore,Fear
forget callin night mommys day,Happy
hiyer wait third day,Bad
blucu u not go chicago,Bad
davidarchie morning david hope able contact mom mother day seem really sweet guess get,Happy
typicalhigh yay particular,Surprise
great rain,Happy
even arnold could not save park httpbit ly wsm5j provide job,Sad
support jessicastrust trust honor mom support matternal health happy mom day httpbit ly bpekk,Happy
go shul,Fear
finish read twilight think crap okay alright okay love really wanna read next one,Fear
food cheesecake factory w travis lose passport btwn sd lv,Bad
rodrigovaca agree everybody would excite go ohhhh nooooo ms screw,Surprise
oh one monitor act deadline oh unhappy camper,Sad
hot station not pack train packed no window open train roasted sardine,Anger
